number,value,datetime_start,datetime_complete,duration,params_cnn_out,params_dropout_a,params_dropout_b,params_fc_hidden,params_fluct_hidden,params_lr,params_lstm_hidden_a,params_n_filters1,params_n_filters2,params_n_layers,params_trend_hidden,params_weight_decay,user_attrs_best_epoch,user_attrs_n_params,user_attrs_time_s,state
24,503.92112478045607,2026-06-21 02:44:17.776688,2026-06-21 02:45:55.206253,0 days 00:01:37.429565,14,0.1672519426335799,0.531705044783906,32,64,0.0006510485470796362,16,64,160,2,224,0.0003439057569755674,1.0,714402.0,97.2,COMPLETE
25,436.18287449188097,2026-06-21 02:45:55.232244,2026-06-21 02:47:47.543151,0 days 00:01:52.310907,16,0.23211784049292908,0.5022112033746132,32,128,0.00019192207068069954,48,64,128,2,256,0.0006068178773622957,2.0,1085216.0,112.1,COMPLETE
26,450.66917259226864,2026-06-21 02:47:47.569692,2026-06-21 02:49:41.007014,0 days 00:01:53.437322,12,0.47161471781745484,0.456806003140073,96,64,3.395534113032391e-05,48,192,352,2,224,0.00029742748062007733,5.0,992836.0,113.2,COMPLETE
27,400.8166468286965,2026-06-21 02:49:41.036546,2026-06-21 02:53:56.478737,0 days 00:04:15.442191,16,0.4022059412040934,0.47042456473270206,32,64,2.5689160438688767e-05,16,96,96,2,224,0.0005223294407592955,36.0,707872.0,255.2,COMPLETE
28,416.0035681938317,2026-06-21 02:53:56.518718,2026-06-21 02:57:53.355615,0 days 00:03:56.836897,14,0.47551423965671863,0.3814122372039839,32,64,1.6684467831957315e-05,32,64,160,2,192,0.00014805972366383749,22.0,572802.0,236.6,COMPLETE
29,423.5618867119656,2026-06-21 02:57:53.383925,2026-06-21 02:59:55.169473,0 days 00:02:01.785548,16,0.3610561489740649,0.43296622941359414,32,64,0.00022459686119760073,16,96,160,2,256,0.0009472540412235974,3.0,916576.0,121.5,COMPLETE
30,407.8688323162239,2026-06-21 02:59:55.204447,2026-06-21 03:04:58.054556,0 days 00:05:02.850109,16,0.4783926452729976,0.39870229990331385,64,32,1.6824561887680406e-05,16,192,96,2,192,0.0006520788660039256,30.0,545472.0,302.6,COMPLETE
31,403.9640686372985,2026-06-21 03:04:58.087584,2026-06-21 03:07:07.297872,0 days 00:02:09.210288,16,0.43694991705673186,0.22608284615738286,64,32,1.5895226816355455e-05,16,192,96,2,128,0.0006306604141259993,45.0,294080.0,128.9,COMPLETE
32,429.2333827593096,2026-06-21 03:07:07.335464,2026-06-21 03:08:52.078962,0 days 00:01:44.743498,12,0.34981270859912356,0.23222648689387348,32,64,2.1558733624306323e-05,16,224,160,2,96,0.0005055940530740718,32.0,296612.0,104.5,COMPLETE
33,424.44412176398436,2026-06-21 03:08:52.114333,2026-06-21 03:14:19.030514,0 days 00:05:26.916181,16,0.4915621951989521,0.4701674764012257,32,64,1.7290656310782887e-05,16,224,96,2,192,0.0009758932039101633,33.0,586400.0,326.6,COMPLETE
34,404.89846335223353,2026-06-21 03:14:19.061332,2026-06-21 03:15:48.339087,0 days 00:01:29.277755,16,0.3651798653943628,0.41147431729067546,64,32,2.408333573477168e-05,32,160,128,2,128,0.00028373851594205976,24.0,319424.0,89.0,COMPLETE
35,419.8868709247766,2026-06-21 03:15:48.371260,2026-06-21 03:18:33.774302,0 days 00:02:45.403042,16,0.39823858657574346,0.30818702494865624,96,32,6.20898458738315e-05,16,160,192,2,192,0.00030482312711043965,7.0,595520.0,165.1,COMPLETE
36,425.2003939320847,2026-06-21 03:18:33.808653,2026-06-21 03:22:32.616672,0 days 00:03:58.808019,16,0.39960905853935336,0.3122305283597753,64,32,1.712830899538758e-05,16,256,128,2,160,0.00047296090276237356,28.0,454176.0,238.5,COMPLETE
37,397.5322707026437,2026-06-21 03:22:32.654335,2026-06-21 03:28:07.927469,0 days 00:05:35.273134,16,0.49385188479514275,0.35307023175311025,64,32,1.1526106603399915e-05,32,128,96,2,160,0.0005570487243115347,47.0,403328.0,335.0,COMPLETE
38,403.088079704672,2026-06-21 03:28:07.979364,2026-06-21 03:29:23.664222,0 days 00:01:15.684858,16,0.3915048076930223,0.4260355419410331,64,32,2.2071003978461548e-05,48,160,160,2,96,0.00022897159377290174,17.0,276192.0,75.4,COMPLETE
39,455.00956377311456,2026-06-21 03:29:23.699276,2026-06-21 03:30:08.116552,0 days 00:00:44.417276,14,0.3843558930993957,0.4526954496253523,64,64,0.00016756444653301413,48,224,224,2,96,0.00023427678115975285,2.0,403714.0,44.2,COMPLETE
40,429.9659143467073,2026-06-21 03:30:08.150775,2026-06-21 03:30:54.920274,0 days 00:00:46.769499,16,0.3045228944710724,0.34963095850709147,32,32,0.0002670983253206165,64,128,160,2,64,0.0006565851910626325,4.0,224384.0,46.5,COMPLETE
41,414.39615330622945,2026-06-21 03:30:54.950896,2026-06-21 03:32:00.215633,0 days 00:01:05.264737,16,0.3715725202244411,0.2922281041407696,32,32,2.4441087855003107e-05,16,128,128,1,96,0.00035849280960693414,20.0,109792.0,65.0,COMPLETE
42,444.3239070486755,2026-06-21 03:32:00.246713,2026-06-21 03:34:08.810960,0 days 00:02:08.564247,10,0.42883559498827856,0.2050124204372118,64,32,3.163975594337057e-05,16,128,96,2,192,0.0004724468873927397,1.0,526118.0,128.3,COMPLETE
43,410.203798434388,2026-06-21 03:34:08.842959,2026-06-21 03:35:05.620030,0 days 00:00:56.777071,14,0.4528366015555987,0.3847320837670396,96,64,4.544378535194204e-05,48,96,128,2,128,0.0007935325621152979,8.0,364002.0,56.5,COMPLETE
44,404.4325886349912,2026-06-21 03:35:05.649545,2026-06-21 03:36:30.263433,0 days 00:01:24.613888,16,0.44426104801027555,0.20141255837907007,64,32,2.4834422795917535e-05,32,160,96,2,128,0.0004424939341166352,22.0,299936.0,84.3,COMPLETE
45,400.34455863043775,2026-06-21 03:36:30.298384,2026-06-21 03:37:32.085886,0 days 00:01:01.787502,14,0.4594566495030247,0.22523927448573947,64,32,3.644489374035936e-05,48,96,96,2,96,0.0009371114552196956,11.0,213250.0,61.5,COMPLETE
46,427.13529765169255,2026-06-21 03:37:32.118719,2026-06-21 03:38:21.692764,0 days 00:00:49.574045,12,0.36686136293067745,0.2810283528026848,32,32,6.423179208045411e-05,48,96,128,2,96,0.00046353278008349564,5.0,223876.0,49.3,COMPLETE
47,422.54439485691915,2026-06-21 03:38:21.723761,2026-06-21 03:40:19.179417,0 days 00:01:57.455656,12,0.4937465276024951,0.21552915327592842,96,64,1.0967131021012177e-05,48,96,160,2,64,0.0006816929670037478,40.0,224548.0,117.2,COMPLETE
48,418.90797393341654,2026-06-21 03:40:19.212673,2026-06-21 03:41:18.041524,0 days 00:00:58.828851,16,0.4659086170428637,0.5095039951850207,32,32,3.814545046925752e-05,64,192,192,2,64,2.7669366199683396e-05,10.0,283360.0,58.6,COMPLETE
49,409.00762141432034,2026-06-21 03:41:18.074526,2026-06-21 03:42:32.229095,0 days 00:01:14.154569,14,0.4746763422469188,0.43132313089069313,64,32,2.3368201502105655e-05,48,192,96,2,64,0.00019176100168320773,18.0,179042.0,73.9,COMPLETE
50,401.07801999735665,2026-06-21 03:42:32.259693,2026-06-21 03:45:35.241306,0 days 00:03:02.981613,16,0.4438072092936049,0.373190035935265,64,32,3.076454300216867e-05,48,96,160,2,192,0.0008372913262244479,10.0,584096.0,182.8,COMPLETE
51,397.00273534951873,2026-06-21 03:45:35.269539,2026-06-21 03:47:24.590632,0 days 00:01:49.321093,16,0.4729425074315336,0.25758661102194,64,32,1.4356736697040734e-05,48,64,96,2,96,0.0006893259863618241,35.0,203072.0,109.1,COMPLETE
52,390.2168067241594,2026-06-21 03:47:24.636691,2026-06-21 03:49:09.404941,0 days 00:01:44.768250,16,0.36258360027241643,0.253218665657523,32,96,1.3689737308032581e-05,64,64,96,2,64,0.0005205445634143417,33.0,265216.0,104.6,COMPLETE
53,414.9589964683258,2026-06-21 03:49:09.447420,2026-06-21 03:50:00.643416,0 days 00:00:51.195996,16,0.3573882470655155,0.21762254973160255,32,128,0.00014357116532267796,64,64,192,2,64,0.0006559715846438793,5.0,396128.0,51.0,COMPLETE
54,413.53192893656956,2026-06-21 03:50:00.671413,2026-06-21 03:51:20.887641,0 days 00:01:20.216228,14,0.38061979402701523,0.24477383489007015,32,96,1.712446154367484e-05,64,96,96,2,128,0.00028464078267081093,18.0,426274.0,80.0,COMPLETE
55,404.4918880521586,2026-06-21 03:51:20.917301,2026-06-21 03:55:51.844969,0 days 00:04:30.927668,16,0.335947981027609,0.35054152013113815,64,64,2.1902987517635916e-05,48,64,224,2,192,0.0006895534770683795,24.0,632256.0,270.7,COMPLETE
56,389.07596864237195,2026-06-21 03:55:51.875385,2026-06-21 04:02:04.465490,0 days 00:06:12.590105,16,0.40068914134144457,0.4680141612335506,32,96,1.3176703749637923e-05,32,128,96,2,256,0.0009742779655128156,47.0,983104.0,372.4,COMPLETE
57,406.51147354656547,2026-06-21 04:02:04.510176,2026-06-21 04:06:03.807692,0 days 00:03:59.297516,14,0.3984268710164139,0.4642319102745713,32,64,1.4093262210045877e-05,32,96,128,2,256,0.0009899591420944737,25.0,923266.0,239.1,COMPLETE
58,399.7079011603348,2026-06-21 04:06:03.837691,2026-06-21 04:08:22.986405,0 days 00:02:19.148714,16,0.31343881281614466,0.2396182585333802,64,128,1.0240377132375828e-05,48,64,96,2,96,0.000700027383444586,51.0,395840.0,139.0,COMPLETE
59,395.9147043556225,2026-06-21 04:08:23.012565,2026-06-21 04:09:31.049962,0 days 00:01:08.037397,16,0.2765651580692832,0.2160252558808489,96,128,2.404521355503091e-05,48,96,128,2,64,0.0009217522329575665,17.0,363712.0,67.9,COMPLETE
60,403.8524637785438,2026-06-21 04:09:31.077485,2026-06-21 04:11:38.161224,0 days 00:02:07.083739,16,0.2526093561297851,0.32368665595810153,96,128,1.274250465623251e-05,48,128,96,2,64,0.0009765881694603841,48.0,358336.0,126.9,COMPLETE
61,402.50690987857587,2026-06-21 04:11:38.190734,2026-06-21 04:12:59.306541,0 days 00:01:21.115807,14,0.18560499170365014,0.24683314576045567,64,128,2.4024229030113416e-05,48,64,224,2,128,0.0007718322926670489,13.0,534114.0,80.9,COMPLETE
62,405.73114943888646,2026-06-21 04:12:59.332454,2026-06-21 04:14:51.617007,0 days 00:01:52.284553,14,0.27208080016156777,0.21613329980326035,64,96,1.0877486661338216e-05,48,64,128,2,96,0.00067252558630676,41.0,319490.0,112.1,COMPLETE
63,396.84531385037167,2026-06-21 04:14:51.647007,2026-06-21 04:16:20.959104,0 days 00:01:29.312097,16,0.3713617214871774,0.2928399377102546,32,96,2.935142562079432e-05,64,64,96,2,64,0.0003474388639714805,29.0,265216.0,89.1,COMPLETE
64,418.8017691880014,2026-06-21 04:16:20.983071,2026-06-21 04:17:10.516036,0 days 00:00:49.532965,14,0.4094549584110968,0.3948421071870293,32,96,3.347993975918509e-05,64,64,160,2,64,0.0001990105133818397,7.0,293954.0,49.3,COMPLETE
65,395.5684003747013,2026-06-21 04:17:10.545036,2026-06-21 04:19:17.936848,0 days 00:02:07.391812,16,0.37598179104861384,0.31931487706566475,32,96,1.4728559812932368e-05,64,64,96,2,64,0.0007957058035832982,50.0,265216.0,127.2,COMPLETE
66,439.7128146586133,2026-06-21 04:19:17.964850,2026-06-21 04:20:03.672438,0 days 00:00:45.707588,14,0.15405074882702732,0.20386373278959832,96,128,9.861702554647635e-05,48,128,160,2,64,0.0002567978211480461,4.0,395554.0,45.5,COMPLETE
67,388.68474130714213,2026-06-21 04:20:03.703167,2026-06-21 04:21:10.581558,0 days 00:01:06.878391,16,0.3514853006611804,0.3358408916374139,32,128,1.700215137939732e-05,64,128,128,1,64,0.0005952465169746121,23.0,194912.0,66.7,COMPLETE
68,402.92772304719864,2026-06-21 04:21:10.623480,2026-06-21 04:21:49.983205,0 days 00:00:39.359725,16,0.22759282250092522,0.41869569801786977,64,96,0.00010485881830179272,64,160,96,1,96,0.0007019597684593242,6.0,182944.0,39.1,COMPLETE
69,410.0870143945063,2026-06-21 04:21:50.008539,2026-06-21 04:26:46.068944,0 days 00:04:56.060405,16,0.31936488678589536,0.5754796913278076,32,128,1.0060656363510416e-05,32,96,160,2,256,0.0006539723153966323,32.0,1087584.0,295.9,COMPLETE
70,410.33578094653166,2026-06-21 04:26:46.097637,2026-06-21 04:27:24.697536,0 days 00:00:38.599899,12,0.27368522519448923,0.36328833276187916,32,128,2.458904148082101e-05,48,128,128,1,96,0.000755900323345196,5.0,201252.0,38.4,COMPLETE
71,405.1429917325487,2026-06-21 04:27:24.723488,2026-06-21 04:28:21.537590,0 days 00:00:56.814102,16,0.4404743249045575,0.2559779565361486,128,128,4.5676050574348116e-05,48,128,192,2,64,0.0008243886892430425,10.0,420448.0,56.6,COMPLETE
