path_a_dropout,path_b_dropout,dropout,warmup_epochs,warmup_start_factor,lr,weight_decay,val_rmse,best_epoch,time_s
0.1426326211556715,0.24331626165561568,0.23658478821381024,1,0.21872430995646225,1.0707587056834925e-05,0.009175265614943844,416.96,72,102.7
0.1000022146702952,0.23017696600541393,0.371853917346496,1,0.08750731161092312,1.423517709597734e-05,0.00021185509201205932,417.94,75,103.9
0.25048502492457736,0.49794394812381293,0.27636742694870897,19,0.10080649937449257,1.0603242993619048e-05,0.008770838274680897,426.69,22,55.2
0.19777598795537316,0.10229166060450182,0.3381335986608557,21,0.4665498524357622,1.1068233170611928e-05,0.009038356411052821,427.42,19,49.5
0.12295495814491364,0.408348529428585,0.2758248930157706,14,0.4955946864525518,1.3689913662494515e-05,0.009984068290353865,427.68,16,45.7
0.18508502827434678,0.45793375333169195,0.25646702431876256,27,0.3386686098102444,1.2003093673738629e-05,0.009894440465550007,427.73,21,52.1
0.1359142873102934,0.33714647305237466,0.42258966205406734,21,0.4447098454253702,1.0217233432674034e-05,0.00992510490724764,427.96,21,52.5
0.12571515086627405,0.1558987697458142,0.4792000324301503,1,0.40997889801173626,1.5005534987863933e-05,0.00908577159627296,428.71,21,52.5
0.15335969407099578,0.37454889310905737,0.18494826212099913,26,0.07636589946956095,2.6975156039809053e-05,0.009868269329256172,430.12,15,45.5
0.14960037778762192,0.40823456471844455,0.28464960730363964,15,0.4946128075142593,3.4349370372997116e-05,0.00874828435435377,430.39,7,35.5
0.1502019241458542,0.4984443949272467,0.48792900580993614,19,0.4214514526278878,1.0886141099337064e-05,0.007612760356348541,430.4,17,48.2
0.11123700350658301,0.37639261831238213,0.13574510433036138,4,0.26573274312779727,1.0506376179109465e-05,0.008169726999213058,430.55,13,42.7
0.2022600125828455,0.4580573429797321,0.29322499696715465,7,0.29531471934571235,1.2186069423637598e-05,0.008218104194860371,430.56,13,41.8
0.12066384690205179,0.2209141563423931,0.27917923017025914,26,0.32747620513135894,1.0692055359125035e-05,0.008809873479550881,430.61,22,53.4
0.12448056872184853,0.37153014750108704,0.4469068091134113,6,0.36132259666805705,1.8205124177948292e-05,0.008744421581136683,430.7,9,36.9
0.14629278487193997,0.23004872023501882,0.4282354074253649,8,0.3153397916821735,1.4354832993119288e-05,0.008730467370006018,430.98,13,42.4
0.18903558748289861,0.3912358483996722,0.38921892661992297,13,0.31101817905894374,1.1528458258332697e-05,0.00943721189145523,430.98,16,47.3
0.15619201160225368,0.48948589207041016,0.2943416756690647,20,0.15203645108713598,1.2504078675370574e-05,0.00983612545566177,431.19,18,47.8
0.1353970008207678,0.1783931449676581,0.11809091556421523,10,0.2249047803602669,3.4889766548903635e-05,0.002065142557895924,431.76,6,33.7
0.18286756130445234,0.13788196118126855,0.46354483579923544,27,0.42998943485487334,1.0310210175642186e-05,0.0067537886864372,432.08,18,49.4
0.12899517345140815,0.2672007894810413,0.3482598120601342,7,0.23038699376373573,1.2870222788679415e-05,0.009075572697207997,432.18,12,41.3
0.151441844613748,0.1679546614396994,0.22590114776078637,23,0.3137988800993,1.2882303657315638e-05,0.007833344898718335,432.53,17,46.9
0.1326286790766425,0.28142190316808835,0.2729536337994004,17,0.4796755886062797,1.0920418857612969e-05,0.00592509497146001,432.57,14,43.3
0.14646958120810233,0.23170702309153854,0.37028509173893487,26,0.46939009795152326,0.0004597218324603485,0.009049066572571325,432.69,1,27.0
0.11328369938140002,0.3630647522942744,0.17711772354041982,6,0.3988973841388204,1.0669694608944038e-05,0.00803365790444259,432.78,12,40.9
0.493023539274802,0.3849294469851007,0.1314380704172114,3,0.4295385500821291,0.0006787724816692161,0.00935711856580865,432.79,12,41.5
0.2427013306774357,0.2123738038749523,0.31707843326329943,4,0.41098864133931784,1.4096175149815853e-05,0.008862326508576247,433.06,10,38.8
0.13772098490579318,0.13037987884345217,0.4187575343170197,28,0.24540758091415255,2.458659610925917e-05,0.00914380022249736,433.09,12,40.5
0.49954959618474837,0.4947325108570815,0.2993661134864899,23,0.33024249571344266,1.0287517622119217e-05,0.0040622290000134394,433.16,18,49.6
0.4121529552758417,0.17650927910724035,0.4340647418960214,21,0.4399629066777376,1.2980140839550139e-05,0.008835811316991642,433.22,15,44.6
0.48267048051029526,0.1463797947900555,0.3094310759261141,8,0.46665039159092414,0.00011643893805525607,0.009548291298033546,433.79,2,28.2
0.10325718792233927,0.39277376600229386,0.33212988616957617,15,0.11132411977160445,1.6233816214002316e-05,0.005754217439193383,434.48,12,41.1
0.15198492371819433,0.10658633160889473,0.44851100592807935,10,0.49151417234155576,3.343700551177442e-05,0.008618117411690607,435.52,6,33.4
0.4614696981541486,0.11030373365164757,0.35834063294496776,23,0.24544840365019505,1.1116123847284123e-05,0.009420726417957125,435.54,20,52.5
0.1040292727340268,0.33098330142383137,0.11602984079247336,6,0.10815633984394254,0.0007059358903778823,0.009940144686853806,436.72,1,27.8
0.10943879511282378,0.33875049481663555,0.14018103983001937,16,0.2665523517448731,1.5154555070376318e-05,4.408444054650641e-05,437.14,10,38.3
0.12642951620446197,0.44439347967129583,0.42914403442410654,3,0.061336091422360156,1.258879118475719e-05,0.00022988585953962707,437.8,7,33.9
0.18213695019026882,0.2564041614972038,0.1625565042111014,10,0.06934071646577736,1.028126141726093e-05,0.003017427829768385,437.87,11,40.0
0.17394178221021084,0.48783385110582345,0.4100531293444458,28,0.452672307692442,0.00015696396388661132,0.004869640941520897,438.69,1,26.7
0.33696582754481696,0.1185801650879991,0.34301794076057535,5,0.0792732168433758,0.0007902619549708221,0.007286653737491036,439.49,1,26.5
0.249816047538945,0.4802857225639665,0.39279757672456206,18,0.12020838819909643,2.051110418843398e-05,1.7073967431528133e-06,439.51,9,38.3
0.17272998688284025,0.17336180394137352,0.2216968971838151,16,0.24437525838895208,3.823475224675187e-05,0.0002801635158716258,439.91,5,31.6
0.10339286442618537,0.1866924954052987,0.3016797153551726,24,0.08255381648634483,1.9435641745594975e-05,3.414136708875162e-05,441.26,10,38.4
0.15579754426081674,0.21685785941408728,0.2465447373174767,14,0.40332918262685613,2.508115686045231e-05,0.00011400863701127315,441.66,5,31.9
0.11103423675038293,0.28172616062428135,0.1977750411117473,19,0.17238102436099606,1.3645769422169794e-05,0.0003623645919132092,442.26,12,40.4
0.12050346667482406,0.1586348519284374,0.47866108538365926,0,0.14145555119968278,1.8950340458482966e-05,0.0006238420488673511,442.8,3,30.1
0.29575199871943136,0.23456043753615355,0.48377692687866547,17,0.06985233335320465,7.687288692875215e-05,0.00010144484092989358,444.09,4,31.1
0.43650896149308127,0.2859902002315498,0.10939798703314284,3,0.3541564869178078,1.2280109125150073e-05,0.00021605401609468353,446.09,6,34.4
0.16610558614224785,0.17637599796515438,0.24170260003678337,13,0.10155958951947358,1.0406874135695021e-05,2.6825957793450202e-06,447.17,9,37.2
0.4233589392465845,0.2218455076693483,0.13906884560255356,21,0.2480686221828206,1.754189348745081e-05,9.565499215943817e-05,447.28,7,34.2
0.11375540844608736,0.4637281608315128,0.20351199264000677,20,0.19026998424023495,0.00010968217207529519,0.00015375920235481748,449.56,2,28.4
0.11655323047560975,0.10912271354053003,0.3493469418178073,2,0.40866582710232235,1.1543151377312076e-05,0.00019126775902186723,451.26,4,30.2
0.30528449845447336,0.11785350264676327,0.38542797728087996,23,0.47190234685631716,0.0001257042454467014,0.00020728199965123516,451.9,1,26.5
0.4944942433944981,0.10302905945672776,0.28876194218818585,1,0.22505861254723725,0.00035942016290404415,0.00017910417894794438,452.06,1,26.5
0.14275693458761005,0.2000907804215718,0.2271903861921322,3,0.10997279883235148,1.2802381079703153e-05,0.0001500028790255042,453.56,5,32.5
0.11994627827835812,0.24425776027234145,0.30502097705757253,26,0.05969044141947516,1.0256399414744263e-05,1.0508955317160318e-06,454.63,14,43.3
0.10303656646956566,0.3290682332764484,0.38687475589010856,22,0.4572395968017566,1.0204769933795705e-05,1.0030455073197996e-06,455.01,8,36.7
0.4744495370942047,0.1029496266653331,0.29343450537127336,28,0.10892624185565475,1.0622513798414011e-05,7.16782918135975e-05,457.57,12,40.6
0.16997665153928443,0.3415278708406657,0.11295557722149807,24,0.3803059712797026,0.0002613445560948175,1.1238392000606343e-06,470.44,1,26.9
0.4464704583099741,0.34044600469728353,0.3832290311184182,1,0.48645943347289744,0.0004622589001020828,7.068974950624601e-06,495.37,1,26.5
